Stage 1,Stage 2,Stage 3,Total
Shs’million,Shs’million,Shs’million,Shs’million
3 994,3 277,7 798,15 069
547,(538),(9),-
(193),208,(15),-
(192),(1 487),1 679,-
(1 511),(526),(4 412),(6 449)
-,-,(5 245),(5 245)
696,2 031,10 449,13 176
3 341,2 965,10 245,16 551
