On demand,"Within 1
year",1 – 5 years,"More than 5
years",Total,Total
Shs’million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
21 009,-,-,-,21 009,21 009
-,24 026,32 384,-,56 410,44 196
-,22 828,97 391,-,120 219,88 380
3 007,-,-,-,3 007,3 007
167,21 330,-,-,21 497,19 385
23 834,60 178,171 483,187 703,443 198,234 234
48 017,128 362,301 258,187 703,665 340,410 211
266,74 228,-,-,74 494,67 143
201 518,73 202,1 791,-,276 511,268 717
4 809,-,-,-,4 809,4 809
-,-,12 215,-,12 215,8 505
1 544,19 235,-,-,20 779,18 874
208 137,166 665,14 006,-,388 808,368 048
(160 120),(38 303),287 252,187 703,276 532,42 163
