"Balance at 1
January","Recognised in
profit or loss","Recognised in other
comprehensive
income","Recognised in
retained
earnings","Balance at 31
December"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
(37),160,-,-,123
(198),-,108,-,(90)
43,(3),-,-,40
779,329,-,-,1 108
164,70,-,-,234
73,17,-,-,90
250,145,-,-,395
96,-,30,-,126
67,,-,-,67
918,-,-,-,918
-,-,-,86,86
2 155,718,138,86,3 097
