Column,Workstream,Scope
1,"Marketing, Brand & Communication","• Brand Go To Market (GTM) plan Campaigns development,
management & execution
Communication Planning and execution and the development of
toolkits and playbooks"
2,"Customer Value Proposition and Customer
Experience",
3,People & Change,
4,Technology (Include digital channels and atms),"• Systems hosted in Barclays PLC will be moved to ABSA Group
Limited – South Africa."
5,"Forms, Stationery and uniforms",• Review of all our stationery in line with the new brand
6,"Cheque, drafts and associated processes","• Review the processes around phasing out of the old account tools
and adoption of the new ones with the new logo."
7,"Legal, Compliance & regulatory","• Ensures compliance to all regulations in the change management
process"
8,Corporate Real Estate Services (CRES),• Brand activities impact on our branch and ATM locations
9,"All products bank wide, credit cards, debit cards
and Point of Sale (POS)",
,Resourcing budgets,• Resources required in the separation Work streams
