Priorities,Strategic response,Core commitments for 2024,Key outcomes
,"Context: Kenya has
approximately 40 millon
people accessing financial
services, with the consumer
segment remaining the most
attractive (and profitable)
revenue pool for players
willing to drive scale through
mobile-first and mobile-only
Response: We will aim to
strongly grow and diversify
our conventional consumer
business while evolving
Timiza into a mobile only
financial services business of
scale","•
Transform into a customer
segment led business
•
Drive diversification of our
consumer business
•
Drive growth in our challenger
Timiza business","•
Established an affluent business launching prestige,
repositioning premier and premier wealth. Relevant
teams and propositions sets in place
•
Established a personal banking business and
expanded our distribution power
•
Doubled the number of customers acquired in 2024
vs 2023
•
Achieved market leadership in bancassurance
•
Doubled revenue in Absa Asset Management
Business (AAML)
•
Significant growth in Timiza disbursements with
revenue growth of 46%"
,"Context: The SME segment
presents a market
opportunity of over 7 million,
and supports more than 40
percent of GDP and 80
percent of employment. This
segment remains cyclical but
resilient through varied
economic periods
Response: We will aim to
expand our product offering
(and adjust our risk appetite
in-line with economic cycles)
for growth, supported by
expanding both physical and
digital distribution power","•
Customer acquisition enabled
through digital and in key target
sectors
•
Bank the entire ecosystem
•
Expand competitiveness in
commercial segment","•
Deployed digital account opening for SME sole
proprietors and Merchant proposition on Timiza
platform
•
Achieved market leadership in La Riba business
•
Launched Wezesha stock platform to offer working
capital solutions to SMEs and onboarded EABL,
Vivo, Meru Dairy and Green Well Energy as anchor
clients with financing opportunity of Shs 10 billion:
2,575 retailers pre-qualified
•
We have 25 anchor and sub anchor clients on
wezesha stock ecosystem proposition with
strategies on relationship deepening leading to
balance sheet uplift of Shs 1.5bn"
,"Context: As the global and
multinational business case
diminishes, a greater
opportunity emerges in local
and local-adjacent markets,
where those who win will
have to offer more than
balance sheet to Corporate
Clients
Response: We will aim to
regionalise our Corporate
and Investment Banking
approach, while investing
towards helping our clients
serve their ecosystems
seamlessly. At the strategic
level, we will seek to take
our clients into new horizons
through advisory","Corporate Bank
•
Transactional banking
capabilities enhancement and
diversification
•
Investment banking and debt
•
Primary partner for clients
through ecosystems
Global Markets
•
Preferred risk management
trusted advisor
•
Transform to an investment
banking security powerhouse
•
Build a forex hub","•
Launched Custody business
•
eCitizen and Social Health Authority integration
delivering approximately Shs 1.5 bn in deposits
flows
•
Enhanced Absa Access Online platform; 84 percent
of CIB customers are digitally active
•
Delivered above Shs 1.25 bn revenue in Investment
Banking as we evolve from debt to Investment
Banking
•
13 ecosystem anchor clients established out of 15
anchor client’s opportunity
•
Strategically positioned the forex trading book
leading to outperformance
•
Absa Securities Limited (ASL) Business delivered
significant market share
•
Increased diaspora inflow on the back of key
strategic partnerships"
