item,1,2,3,4,5,6
None,Share capital Shs'millions,Other reserves Shs'millions,Regulatory reserve Shs'millions,Retained earnings Shs'millions,Proposed dividend Shs'millions,Total equity Shs'millions
None,2 716,(138),432,29 913,5 432,38 355
Profit for the year Other comprehensive loss for the year,- -,- (654),- -,8 401 79,- -,8 401 (575)
None,- - - - - -,(654) - 53 - - -,- 495 - - - -,8 480 (495) - - (1 086) (4 345),- - - (5 432) - 4 345,7 826 - 53 (5 432) (1 086) -
None,2 716,(739),927,32 467,4 345,39 716
