Column,"Group and Company
2009 2008
Shs million Shs million"
,"5,986 6,111
31 47
12 17
583 32
80 74
274 298
257 522"
Total staff costs,"7,223 7,101"
"The number of persons employed by the
group as at year end was:","Group and Company
2009 2008
Number Number"
,"5,325 5,751"
"9. Income tax expense
Current income tax
Deferred income tax (note 17)","Group and Company
2009 2008
Shs million Shs million"
,"2,778 2,437
133 54"
,"2,911 2,491"
"The tax on the group’s profit before income tax
differs from the theoretical amount that would
arise using the statutory tax rate as follows:
Profit before income tax","Group and Company
2009 2008
Shs million Shs million"
,"9,002 8,016"
"Tax calculated at the statutory tax rate of 30%
(2008: 30%)
Tax effect of: Income not subject to tax
Expenses not deductible for tax purposes
Under provision of deferred tax in prior years","2,701 2,405
(1) (1)
104 87
107 -"
Income tax expense,"2,911 2,491"
