Member,"Ordinary (Scheduled)
Meetings"
,"Attended/
Meetings Eligible to
Attend"
Brown Ondego,4/4
Jane Karuku,3/4
Francis Okomo-Okello,4/4
Ashok Shah,4/4
John Waweru,4/4
Managing Director,4/4
Head of Corporate Banking,4/4
Head of Consumer Banking,4/4
Chief Risk Officer,4/4
