Column,Corporate Banking,Consumer Banking,Total
Group - 2025,Shs’million,Shs’million,Shs’million
,150 243,161 923,312 166
,5 600,-,5 600
,43 865,176 017,219 882
,199 708,337 940,537 648
,94 884,277 499,372 383
,33 184,31 561,64 745
,128 068,309 060,437 128
