Director,"Ordinary
(Scheduled) Meetings",Column
,Meetings Eligible to Attend,"Meetings
Attended"
Brown Ondego,4,4
Jane Karuku,4,3
Francis Okomo-Okello,4,4
Ashok Shah,4,4
Managing Director,4,4
Head of Corporate Banking,4,4
Head of Consumer Banking,4,4
Chief Risk Officer,4,4
Head of Corporate Credit,4,4
Head of Consumer Credit,4,3
Head of Business Support,3,3
