Name,Industry and Professional Experience
Charles Muchene*,"Audit, Strategy, Corporate Governance and Ethics"
Ashok Shah*,"Financial Services, Capital Markets and Auto Industry."
Jeremy Awori**,Financial Services.
Yusuf Omari**,Accounting and Financial Services.
Laila N. Macharia*,"Legal, Public Sector and Investment Management."
Winnie Ouko*,"Accounting, Financial Consulting and Strategy Advisory."
Norah Chieng’ Odwesso*,Corporate Relations and Strategy Management.
Patricia Ithau*,Consumer Brands and Retail/Manufacturing.
