"Exposure relating
to on SOFP","Guarantees credit insurance
and credit derivatives","Physical
collateral","Cash
collateral",Column,Other,Unsecured,"Guarantees credit insurance
and credit derivatives","Physical
collateral","Cash
collateral",Other,Unsecured,Net exposure
Shs' million,Shs’ million,Shs’ million,Shs’ million,,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million
16 910,-,-,-,-,-,-,-,-,-,16 910,-,-
1 724,-,-,-,-,-,-,-,-,-,1 724,-,-
20 446,-,-,-,-,-,-,-,-,-,20 446,-,-
3 198,-,-,-,-,-,-,-,-,-,3 198,-,-
73 644,-,-,-,-,-,-,-,-,-,73 644,-,-
1 062,-,-,-,-,-,-,-,-,-,1 062,-,-
8 386,-,-,-,-,-,-,-,-,-,8 386,-,-
357 610,1 312,10 343,7,1 507,21 743,21 789,88 838,1 040,242,210 789,-,-
122 898,-,37,-,2,1,2 414,14 428,212,1 467,104 337,-,-
27 287,-,-,-,-,-,-,-,-,-,27 287,-,-
633 165,1 312,10 380,7,1 509,21 744,24 203,103 266,1 252,1 709,467 783,-,-
