"Natural capital
Primary interest group: Planet",unit,Long term,Column,Medium term,Short term
,,2020,2021,2022 2023,2024
,,N/A,N/A,"N/A 2.41
1.24 1.14
N/A 0.52
303 664 728 095",1.16
,,1.34,1.32,,0.84
,,N/A,N/A,,1.22
,,N/A,6 600,,72 000
