Indicators,H1 2021,H1,20,20,Column
Normalised Cost to Income Ratio,45%,,49%,,Marked improvement (400 bps)
Loan Loss Rate,1.8%,,5.4%,,"Marked improvement in underlying portfolio
quality"
Interest spread,7.1%,,7.6%,,CBR drop impact
Yield on Loans,9.5%,1,0.3%,,CBR drop impact
Cost of Funds,2.4%,,2.7%,,"Better that prior period as we diversified our
deposits"
ROE,22%,,6%,,"Recovery in ROE driven better earnings and
Optimization of capital"
