Member,"Ordinary (Scheduled)
Meetings"
,"Attended/
Meetings Eligible to
Attend"
Jane Karuku,4/4
Francis Okomo-Okello,4/4
John Waweru,4/4
Managing Director,2/4
Head of Corporate Banking,4/4
Head of Consumer Banking,4/4
Chief Operating Officer,2/4
Head of Corporate Affairs,3/4
Head of Marketing,4/4
Head of Customer Service,3/4
