"2022
Shs'million",Column,"2022
Shs'million"
20 849,"15 549
5 353
(28 585)
4 087
769
132
1
96
13",19 829
6 469,,6 608
(36 732),,(36 703)
5 824,,5 747
756,,756
127,,116
1,,1
179,,179
55,,55
(2 472),(2 585),(3 412)
,"1 559
(2 341)
173
3 479
(28 827)
334
2 700
(16 382)
17 114
(7 856)
-
733
15 087",
(1 747),,(1 747)
347,,499
(111),,(111)
116,,(59)
(54 485),,(54 485)
(5 019),,(5 018)
(711),,(711)
10 177,,10 194
(6 345),,(6 345)
1 356,,1 356
(286),,(286)
4 209,,4 209
35 034,,35 926
(17 465),(14 227),(16 578)
(19 937),(16 812),(19 990)
