item,0,1,2,3,4,5,6
Share Capital Fair value reserve Share-based payment reserve Retained profit Proposed Dividends Total equity,,,,,,,
Shs’million Shs’million Shs’million Shs’million Shs’million Shs’million,,,,,,,
2019,2019,,,,,,
Shs’million,Shs’million,,,,,,
(11 520),(11 520),,,,,,
28 466,28 466,,,,,,
(6 400),(6 400),,,,,,
(4 471),(4 471),,,,,,
6 075,6 075,,,,,,
(1 711),(1 711),,,,,,
130,130,,,,,,
(136),(136),,,,,,
(1 717),(1 717),,,,,,
2 532,2 532,,,,,,
(5 974),(5 974),,,,,,
(3 442),(3 442),,,,,,
916,916,,,,,,
19 215,19 215,,,,,,
20 131,20 131,,,,,,
None,,2 716,529,188,35 072,4 888,43 393
Profit for the year Other comprehensive loss for the year,,-,-,-,7 161,-,7 161
