"Notes 2009 2008
Shs million Shs million"
"12 9,751 13,695
13 43,861 28,307
14 1,061 1,654
35 6,246 6,993
15 93,543 108,086
412 251
16 275 275
19 686 546
18 5,921 3,403
20 62 63
21 1,837 2,020
22 1,496 3,492"
"165,151 168,785"
"23 1,503 -
24 125,869 126,408
25 262 1,401
26 34 289
35 3,986 9,883
117 178
17 619 432
27 4,294 4,329
28 4,257 5,402"
"140,941 148,322"
"29 2,716 2,716
89 89
125 (247)
16,793 15,236
1,771 632
11 2,716 2,037"
"24,210 20,463"
"165,151 168,785"
