Column,"Effects of
offsetting in the
SOFP",Related amounts not offset,Column,Column
,"Amounts
presented in the
SOFP","Amounts subject
to master netting
agreement","Financial
instrument
collateral",Net amount
2024,Shs’million,Shs’million,Shs’million,Shs’million
,309 098,-,(3 343),305 755
,309 098,-,(3 343),305 755
,367 115,-,(3 343),363 772
,367 115,-,(3 343),363 772
