No. Co,mmitment,Goal or target,Target dat,e 2023 YTD
"1 Div
fun
sup
1. R
2. I
3. F
4. S
5. R
6. V","ersification of our portfolio and increase our
ding and capital allocation for initiatives that
port:
enewable and clean energy
ndustries, innovation and infrastructure
inancially excluded groups
ustainable cities and communities
esponsible consumption and production
alue chains","Increase portfolio and
capital allocation by at
least 10%",2025,"20%
Total Sustainable finance
Shs 60bn"
"2 Incr
wo","ease diversity in the supply chain, focusing on
men, youth and persons with disabilities (PWD)",Achieve 30% diversity,2025,"15.5% suppliers that include women,
youth and PWDs"
"3 Inv
dev","esting in the future of the youth through skills
elopment with our ReadytoWork programme",Train one million youth,2025,20 274
"4 Bec
204","ome a net-zero carbon footprint company by
0",Achieve Net-Zero,2040,"Sourcing and procurement of vendors
for smart meter readers complete"
"5 Incr
env
tree","ease biodiversity and encourage
ironmental responsibility through planting
s",Plant 10 million trees,2025,728 095
"6 Em
cor
pra","power our suppliers and create awareness on
porate sustainability and responsible business
ctices","Train all suppliers on
sustainable business",2021,"More than 90% active suppliers trained
Over 500 special groups suppliers
trained on Absa Procurement"
"7 Dir
Ken
fun","ect and indirect economic contribution to the
yan economy through our current and future
ding","% of contribution to
economy",Continuou,"s 3%
UNCTAD economic contribution model"
8 Bec,ome one of the best places to work in Kenya,Top 10,2025,Top employer
"9 Inv
skil","esting in training and upskilling the future
ls and competencies of our employees","Train all employees on at
least one future skill",2021,Continous
"10 Incr
juni
par","ease proportion of women within all levels:
or, management and board positions: Gender
ity","Attain 50% across all
levels",2025,47%
"11 Ass
and","ess and manage our indirect environmental
social impacts","Reduce and mitigate
negative impact",2021,Full automation of ESMS complete
"12 Adh
inte","erence to governance and control policies
rnally and through the supply chain","Embed Environmental,
Social, Governance (ESG)
across all our policies and
frameworks",Continuou,"s Strategic sustainability and
reputational risk framework and
Sustainability Risk Policy localised"
,tinued partnerships for the goals,"Number of partners and
value created for society
and business",Continuou,
