Column,Financial services,Government,Manufacturing,Wholesale and retail trade,Transportation and communication,Agricultural,Private individuals,Energy,Other,Total
2024,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million
,-,24 416,-,-,-,-,-,-,-,24 416
,8 069,-,-,-,-,-,-,-,-,8 069
,1 867,-,-,-,51,25,-,-,67,2 010
,-,33 470,-,-,-,-,-,-,-,33 470
,-,96 068,-,-,-,-,-,-,-,96 068
,-,1 049,-,-,-,-,-,-,-,1 049
,9 112,-,50 586,75 916,13 469,14 887,123 546,13 363,8 219,309 098
,19 048,155 003,50 586,75 916,13 520,14 912,123 546,13 363,8 286,474 180
