Column,"Fair value through profit/loss
- held for trading",Fair Value through OCI- Debt instruments,Amortised cost - financial instruments,Amortised cost financial liabilities,Total assets and liabilities,Off balance sheet financial instruments
Categories of financial instruments (continued),Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,-,-,29 599,-,29 599,-
,3 198,-,-,-,3 198,-
,-,-,335 714,-,335 714,68 605
,20 446,73 644,1 062,-,95 152,-
,-,-,1 721,-,1 721,-
,-,-,27 287,-,27 287,-
,-,-,13 005,-,13 005,-
,23 644,73 644,408 388,-,505 676,68 605
,3 250,-,-,-,3 250,-
,-,-,-,24 024,24 024,-
,-,-,-,13 047,13 047,-
,-,-,-,11 685,11 685,-
,-,-,-,362 749,362 749,-
,-,-,-,16 324,16 324,-
,-,-,-,17 023,17 023,54 294
,3 250,-,-,444 852,448 102,54 294
,(226),9 124,45 139,-,54 037,-
,-,-,-,(14 219),(14 219),-
,(226),9 124,45 139,(14 219),39 818,-
