"June
2013
Shs '000
Unaudited
3,935,138
-"
"3,935,138
3,022,275
912,863
248,693"
"664,170"
"71,421
8,773,857"
"8,845,278
30,980,509
4,513,517
3,613,550"
"39,107,576
26,797,424
1,000,000
25,797,424
2,156,369"
"28,953,793
181,109,177
19.5%
10.5%
9.0%
14.8%
10.5%
4.3%
16.0%
14.5%
1.5%
44.9%
20.0%
24.9%"
