Strategic Key focus areas of our strategy,Column
1,A modern-day consumer business -
2,A market leader in business banking -
3,A powerhouse in corporate and investment banking-
4,A digitally powered business –
5,A Trusted Brand -
56,A Home of Talent & Diversity -
