item,0,1,2,3,4
27 434,27 434,,,,
(5 100),(5 100),,,,
22 334,22 334,,,,
6 430,6 430,,,,
(660),(660),,,,
5 770,5 770,,,,
2 620,2 620,,,,
885,885,,,,
74,74,,,,
31 683,31 683,,,,
(3 927),(3 927),,,,
27 756,27 756,,,,
(9 837),(9 837),,,,
(1 794),(1 794),,,,
(4 081),(4 081),,,,
(665),(665),,,,
(527),(527),,,,
(16 904),(16 904),,,,
10 852,10 852,,,,
(3 453),(3 453),,,,
7 399,7 399,,,,
(229),(229),,,,
61,61,,,,
(168),(168),,,,
1 066,1 066,,,,
(256),(256),,,,
810,810,,,,
642,642,,,,
8 041,8 041,,,,
1.36,1.36,,,,
5 938,5 938,,,,
5 278,5 278,,,,
31 191,31 191,,,,
27 264,27 264,,,,
(9 770),(9 770),,,,
(1 786),(1 786),,,,
(4 078),(4 078),,,,
(526),(526),,,,
(16 825),(16 825),,,,
10 439,10 439,,,,
(3 328),(3 328),,,,
7 111,7 111,,,,
7 753,7 753,,,,
1.31,1.31,,,,
(11),,12,39,,
(50),,14,30,,
(61),,26,69,,
26,,,69,,
4 877,4 877,,,,
43 822,43 822,,,,
48 699,48 699,,,,
219,219,,,,
None,131 539,,,,
(45) 8 142,(102),,,,
1 022,1 022,,,,
6 263,6 263,,,,
1 873,1 873,,,,
9 158,9 158,,,,
,,7 345,,7 345,
8 963,,34 304,43 267,,
(4 694),,(16 239),(20 933),,
4 269,,18 065,22 334,,
711,,5 719,6 430,,
(79),,(581),(660),,
632,,5 138,5 770,,
1 580,,1 040,2 620,,
951,,8,959,,
7 432,,24 251,31 683,,
(93),,(3 834),"(3,927)",,
7 339,,20 417,27 756,,
( 2 527),,(13 185),(15 712),,
(2 527),,(14 377),(16 904),,
4 812,,6 040,10 852,,
(1 531),,(1 922),(3 453),,
3 281,,4 118,7 399,,
