Non-Executive Directors,Date of Appointment,Total Emoluments 2019,Total Emoluments 2018
,,Shs,
,22 August 2016,7 392 000,
,July 2011,4 065 600,
,August 2014,3 819 200,
,August 2014,3 326 400,
,23 February 2016,4 483 600,
,7 March 2018,4 114 000,
,7 March 2018,2 956 800,
,August 2014,1 940 400,
,,32 098 000,
