Focus Area,Activity,Amount,% Change
,Youth Groups formed 2013,"770
3,552
3,552",29%
,Youth Groups formed 2014 (cumulative),,134%
,Youth Groups formed 2015 (cumulative),,-
,People trained 2013,"200
16,145
18,294",1%
,People trained 2014 (cumulative),,71%
,People trained 2015 (cumulative),,81%
,Groups linked 2013,"NA
NA
1,785",-
,Groups linked 2014 (cumulative),,-
,Groups linked 2015 (cumulative),,-
,Employees engaged 2013,"170
210
210",85%
,Employees engaged 2014 (cumulative),,105%
,Employees engaged 2015 (cumulative),,-
