Column,Measures
Metric performance measures,Weight %
"Normalised return on equity measured on a simple annual average basis
over the three year performance period 2019 - 2021",30
"Normalised headline earnings per share
(in constant currency), measured on a compound annual growth basis over
the three-year performance period 2019 – 2021",30
"Normalised cost-to-income ratio as reported in the 2021 full year annual
financial statements",30
"Organisation health
(People, Customer and Control)",10
