item,0,1,2,3,4
2015 Shs'millions,2015 Shs'millions,,,,
25 286 (4 875),25 286 (4 875),,,,
20 411 7 609 (959),20 411 7 609 (959),,,,
6 650 2 487 (453) 367,6 650 2 487 (453) 367,,,,
29 462 (1 766),29 462 (1 766),,,,
27 696 (9 305) (1 617) (3 646) (487) (567),27 696 (9 305) (1 617) (3 646) (487) (567),,,,
(15 622) 12 074 (3 673),(15 622) 12 074 (3 673),,,,
8 401,8 401,,,,
79 (935) 281,79 (935) 281,,,,
(654),(654),,,,
(575),(575),,,,
7 826,7 826,,,,
1.55,1.55,,,,
Category (as defined by IAS 39) None Class (as determined by the Group) None Subclasses,Category (as defined by IAS 39),None,Class (as determined by the Group),None,
Financial assets Financial assets at fair value through profit or loss Financial assets held for trading Debt securities,Financial assets,Financial assets at fair value through profit or loss,Financial assets held for trading,Debt securities,
None None None Derivative assets,None,None,None,Derivative assets,
None None Financial assets designated at fair value through profit or loss Equity securities,None,None,Financial assets designated at fair value through profit or loss,Equity securities,
None Loans and receivables Loans and advances to banks None None,None,Loans and receivables,Loans and advances to banks,None,
None None Due from group companies None None,None,None,Due from group companies,None,
None None Loans and advances to customers Loans to individuals (retail) Overdrafts,None,None,Loans and advances to customers,Loans to individuals (retail),
None None None None Credit cards,None,None,None,None,
None None None None Term loans,None,None,None,None,
None None None None Mortgages,None,None,None,None,
None None None Loans to corporate entities Large corporate customers,None,None,None,Loans to corporate entities,
None None None None SMEs,None,None,None,None,
None None None None Others,None,None,None,None,
None None Items in course of collection None None,None,None,Items in course of collection,None,
None None Cash balances with Central Bank of Kenya None None,None,None,Cash balances with Central Bank of Kenya,None,
None Available for sale investments Debt securities Listed,None,Available for sale investments,Debt securities,,
Financial liabilities Financial liabilities at amortised cost Deposits from banks None None,Financial liabilities,Financial liabilities at amortised cost,Deposits from banks,None,
None None Deposits from customers Retail customers,None,None,Deposits from customers,Retail customers,
None None None Large corporate customers,None,None,None,Large corporate customers,
None None None SMEs,None,None,None,SMEs,
None None Borrowings None None,None,None,Borrowings,None,
None None Due to group companies None None,None,None,Due to group companies,None,
None None Other liabilities None None,None,None,Other liabilities,None,
None Financial assets at fair value through profit or loss None None None,None,Financial assets at fair value through profit or loss,None,None,
Off-balance sheet financial instruments Loan commitments None None None,Off-balance sheet financial instruments,Loan commitments,None,None,
"None Guarantees, acceptances and other financial liabilities None None None",None,"Guarantees, acceptances and other financial liabilities",None,None,
None,2015 Shs'millions,,,,
7 41,42 42,,,,
(18) (18),(39) (3),,,,
Assets Shs'millions,,Liabilities Shs'millions,Notional contract amount Shs'millions,,
42 42,,(39) (3),(13) (47),,
84,,(42),(60),,
8 368 37 438,8 368 37 438,,,,
45 806,45 806,,,,
253 -,253 -,,,,
253,253,,,,
111 693 23 043 8 097 7 001,111 693 23 043 8 097 7 001,,,,
149 834,149 834,,,,
(3 926) (529),(3 926) (529),,,,
(4 455),(4 455),,,,
145 379,145 379,,,,
2015 Recurring fair value measurements,,,,,
Financial Assets Fair value through profit or loss - Held for trading Trading securities,,2 245,2 245,,
,,2 245,2 245,,
Available for sale Debt investments,,45 806,45 806,,
Category of asset/liability Valuation technique applied Significant observable inputs,,,Significant observable inputs,,
Government debt instruments Discounted cash flow valuation technique Quoted yields and 15bps bid offer adjustment that management has estimated as the reasonable basis for applying the adjustment,,,Quoted yields and 15bps bid offer adjustment that management has estimated as the reasonable basis for applying the adjustment,,
Interest received Shs'millions Interest paid Shs'millions Recharges Shs'millions Rent paid Shs'millions Investment balance Shs'millions,,,,,
Barclays Bank Plc Barclays Africa Group Limited - - - -,,14 -,374 -,455 355,
Due from Shs'millions Due to Shs'millions,,,,,
Barclays Bank Plc Barclays Africa Group Limited Other Group companies,,8 696 5 222 33,(1 960) (20 693) (31),,
Senior management Directors,,560 45,53 -,- 22,613 67
