item,0,1,2,3,4
2021 Shs’million,2021 Shs’million,,,,
32 038,32 038,,,,
(6 781),(6 781),,,,
25 257,25 257,,,,
7 001,7 001,,,,
(844),(844),,,,
6 157,6 157,,,,
4 784,4 784,,,,
102,102,,,,
36 300,36 300,,,,
(4 087),(4 087),,,,
32 213,32 213,,,,
(9 593),(9 593),,,,
(792),(792),,,,
(5 378),(5 378),,,,
(769),(769),,,,
(132),(132),,,,
(16 664),(16 664),,,,
15 549,15 549,,,,
(4 679),(4 679),,,,
10 870,10 870,,,,
(424),(424),,,,
127,127,,,,
(297),(297),,,,
(983),(983),,,,
295,295,,,,
(688),(688),,,,
(985),(985),,,,
9 885,9 885,,,,
2.00,2.00,,,,
31 988,31 988,,,,
(6 878),(6 878),,,,
25 110,25 110,,,,
5 809,5 809,,,,
(713),(713),,,,
5 096,5 096,,,,
118,118,,,,
35 108,35 108,,,,
(4 086),(4 086),,,,
31 022,31 022,,,,
(9 297),(9 297),,,,
(789),(789),,,,
(5 321),(5 321),,,,
(120),(120),,,,
(16 296),(16 296),,,,
14 726,14 726,,,,
(4 428),(4 428),,,,
10 298,10 298,,,,
(964),(964),,,,
289,289,,,,
(675),(675),,,,
(972),(972),,,,
9 326,9 326,,,,
1.90,1.90,,,,
Corporate Banking,,Consumer Banking,Total,,
Shs'million,,Shs'million,Shs'million,,
716,,3 492,4 208,,
829,,903,1 732,,
,,1 061,1 061,,
1 545,,5 456,7 001,,
(99),,(745),(844),,
1 446,,4 711,6 157,,
585,,3 492,4 077,,
1 414,,4 395,5 809,,
(98),,(615),(713),,
1 316,,3 780,5 096,,
622,622,,,,
4 162,4 162,,,,
40,,16 37,40,,
62,,None,78,,
Total Shs’million,Stage 1 Shs’million,Stage 2 Shs’million,Stage 3 Shs’million,,
(872),,768,(3 880),(3 984),
(12),,-,-,(12),
1,,-,-,1,
(110),,(422),(146),(678),
16,,-,-,16,
(58),,(2),-,(60),
(1),,-,-,(1),
131,,(12),-,119,
(33),,(436),(146),(615),
(32),,(436),(146),(614),
Level 1 Shs'million,,Level 2 Shs'million,Level 3 Shs'million,Total Shs'million,
Level 1,Carrying amount,Fair value,,Level 2,Level 3
