"Carrying
amount",Fair value,Level 1,Level 2,Level 3
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
28 808,28 808,-,28 808,-
3 803,3 803,-,-,3 803
8 684,8 684,-,-,8 684
194 895,194 895,-,-,194 895
236 190,236 190,-,28 808,207 382
4 081,4 081,-,-,4 081
64 086,64 086,-,-,64 086
237 739,237 739,-,-,237 739
7 628,7 628,-,-,7 628
313 534,313 534,-,-,313 534
