Director,Ordinary (Scheduled) Meetings,Column,Column,Column,Special (Adhoc) Meetings,Column,Column,Column
,31.1.14,30.4.14,11.8.14,23.10.14,6.2.14,19.3.14,3.6.14,16.7.14
"Francis
Okomo-Okello",√,√,√,√,√,√,√,√
Jeremy Awori,,√,√,√,√,√,√,√
Yusuf Omari,√,√,√,√,√,×,√,√
Rose Ogega,,√,√,√,√,√,×,√
Brown Ondego,√,√,√,√,√,√,√,×
Jane Karuku,√,√,√,√,×,√,√,√
Ashok Shah,√,√,√,√,√,√,×,√
Laila Macharia,N/A,N/A,×,√,N/A,N/A,N/A,N/A
Winnie Ouko,N/A,N/A,√,√,N/A,N/A,N/A,N/A
"Norah
Odwesso",N/A,N/A,√,√,N/A,N/A,N/A,N/A
