Column,Level 1,Level 2,Level 3,Total
Recurring fair value measurements,Shs'million,Shs'million,Shs'million,Shs'million
,-,33 470,-,33 470
,-,2 010,-,2 010
,-,96 068,-,96 068
,-,(1 653),-,(1 653)
,-,129 895,-,129 895
