Financial services,Government,Manufacturing,"Wholesale and
retail trade",Transportation and communication,Agricultural,Private individuals,Other,Total
Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million
-,28 808,-,-,-,-,-,-,28 808
3 803,-,-,-,-,-,-,-,3 803
550,-,204,-,-,161,-,6,921
-,43 774,-,-,-,-,-,-,43 774
-,79 221,-,-,-,-,-,-,79 221
-,-,36 537,33 052,5 168,8 436,89 217,22 485,194 895
4 353,151 803,36 741,33 052,5 168,8 597,89 217,22 491,351 422
