Column,Within 12 months,After 12 months,Total
As at 31 December 2025,Shs’million,Shs'million,Shs'million
,19 318,-,19 318
,5 600,-,5 600
,9 791,32 722,42 513
,1 052,-,1 052
,73 081,35 961,109 042
,-,8 220,8 220
,17 803,-,17 803
,107 626,204 540,312 166
,9 799,-,9 799
,1 905,-,1 905
,-,47,47
,-,2 638,2 638
,-,1 395,1 395
,-,29,29
,-,6 121,6 121
,245 975,291 673,537 648
,13 250,-,13 250
,1 059,-,1 059
,14 974,-,14 974
,370 699,1 684,372 383
,-,16 646,16 646
,18 772,-,18 772
,44,-,44
,418 798,18 330,437 128
,(172 823),273 343,100 520
