On demand,"Within 1
year",1 – 5 years,"More than 5
years",Total,Total
Shs’million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
16 910,-,-,-,16 910,16 910
-,5 789,18 200,1 842,25 831,20 446
-,36 350,38 451,32 866,107 667,73 644
-,-,1 278,-,1 278,1 062
1 724,-,-,-,1 724,1 724
329,31 219,-,-,31 548,27 287
-,138 258,123 428,205 309,466 995,335 714
18 963,211 616,181 357,240 017,651 953,476 787
11 685,-,-,-,11 685,11 685
-,13 047,-,-,13 047,13 047
725,18 065,-,-,18 790,16 324
229 622,137 257,2 724,-,369 603,362 749
-,-,1 945,32 522,34 467,24 024
-,688,1 878,-,2 566,1 909
1 704,17 738,-,-,19 442,17 023
243 736,186 795,6 547,32 522,469 600,446 761
(224 773),24 821,174 810,207 495,182 353,30 026
24 901,-,-,-,24 901,24 901
12 231,56 374,-,-,68 605,68 605
29 392,-,-,-,29 392,29 392
66 524,56 374,-,-,122 898,122 898
