Key Performance Indicators,2018 H1,2017 H1,Variance,Column
Return on Equity,18.6%,17.5%,▲,1.1%
Cost to Income Ratio,55.3%,56.5%,▼,(1.2%)
"Cost to Income Ratio
(Adjusted for One-Off Investments)",50.4%,55.3%,▼,(4.9%)
Staff Costs to Total Costs,58.9%,60.8%,▼,(1.8%)
Loan Loss Ratio,2.0%,1.7%,▲,0.3%
Net Interest Margin,9.0%,9.8%,▼,(0.9%)
Cost of Funds,2.6%,2.5%,▲,0.1%
