"Stage 1
12-month ECL","Stage 2
Lifetime ECL","Stage 3
Lifetime ECL",Total
Shs’million,Shs’million,Shs’million,Shs’million
429,147,2,578
2,(2),-,-
(107),107,-,-
(23),-,23,-
(129),(105),(23),(257)
187,238,38,463
359,385,40,784
