Our responses,How we engage stakeholders,Measures
"• Developed robust corporate strategy
and value creation model; delivering
balanced and optimal results on 3
principal financial measurements:
Revenue growth, CIR and ROE
• Committed and delivered sustainable
total returns for shareholders every
quarter; through improving earnings
per share, ROE and dividend pay-out
• Maintained a strong balance sheet
construct with adequate capital buffers
• Ensured transparent reporting and
disclosures","• Actively reported to the Board of Directors
about our strategy and strategic execution
on a quarterly basis
• Committed to protect total returns of our
minority shareholders throughout the
Separation
• Engaged shareholders through the AGM in
May 2018 with the Board providing review
of our performance and providing an
opportunity for interaction and shareholder
voting on various resolutions
• Delivered robust and transparent
shareholder engagement framework
throughout the years; including: investor
meetings, results announcements and
analyst briefings; locally and internationally
• Ensured award winning integrated
reporting to maintain sound and complete
reporting","• Top-line growth faster than market
growth
• Increase in total returns
• Strong balance sheet construct"
"• Embraced robust governance
• Embraced ethical bank practices and
regulatory compliance
• Actively participated in and chaired
regulatory committees
• Contributed meaningfully in tax
spending
• Participated in buying government
securities","• Promoted open conversations and
regular engagements with our regulators
to ensure clarity and transparency
• Actively involved in policy
recommendations and contributed
feedbacks to policy drafts by supervisory
authorities
• Actively involved in industry thought
leadership groups","• Compliance with policy governance
and policy requirements
• Governance awards
• Tax payments"
,"• Engaged in continual dialogue with interest
groups to improve our impacts on
economy, society, technology and
environment
• Regularly engaged with our stakeholders
through participation in different forums
and round tables as well as joined industry,
sector and specific topic discussions
• Developed a sustainability strategy in
alignment with the United Nations’ SDGs;
promoting partnerships and direct
participation
• Developed mandate for our Marketing and
Corporate Relations team around
continuous engagements with these
stakeholder groups",
