Thursday 30 June 2022,Column,Column
"9.00 – 10.30am
11.00 – 1.00pm
2.00 – 4.30pm","Customer Acquisition and Digital Marketing
Compliance – Financial Crime
Enterprise Risk Management Framework (ERMF) and Operational Risk Management
Framework (ORMF)","External
Internal"
Friday 1 July 2022,,
"8.30 – 10.00am
10.30 – 12.30pm","AI Machine Learning
Climate related risk management and Sustainability Management","Internal
External"
Wednesday 30 November 2022,,
9.00 – 10.30am,Future Fit Leadership,External
Total training hours: 12 hrs,,
