"Intellectual & Manufactured Capital
Primary interest group: Customers and
employees",unit,Long term,Column,Medium term,Short term
,,2020,2021,2022 2023,2024
,,210,208,"196 196
83 83
- 3 000
5 209 5 209
60 60
99% 99%
96% 99%",203
,,85,84,,86
,,-,-,,3 131
,,-,-,,5 300
,,-,-,,60
,,98%,99%,,99%
,,-,-,,99%
