Carrying amount,Fair value,Level 1,Level 2,Level 3
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
21 009,21 009,-,21 009,-
3 007,3 007,-,-,3 007
19 058,19 058,-,-,19 058
234 234,234 234,-,-,234 234
277 308,277 308,-,21 009,256 299
4 809,4 809,-,,4 809
67 143,67 143,-,,67 143
268 717,268 717,-,,268 717
8 505,8 505,-,,8 505
349 174,349 174,-,,349 174
