Column,Column,Column,Column,Column,Column,Column,"#1
Top Quartile"
"Absa Stock Price2 #1 #1 #2 #2
Dividend Yield #2 #1 - #2",,,,,,,
,Absa Stock Price2,#1,#1,#2,#2,,#1
,Dividend Yield,#2,#1,-,#2,,Top Quartile
,Absa ROE3,17%,18%,9%,19%,23%,
,Industry ROE3,16%,15%,11%,16%,19%,
