item,1,2,3,4,5,6
Share capital Shs’million Fair value reserve Shs’million Share-based payment reserve Shs’million Retained profit Shs’million Proposed dividends Shs’million Total equity Shs'million,,,,,,
None,2 716,394,112,47 251,5 975,56 448
Profit for the year Other comprehensive loss for the year,-,-,,14 587,-,14 587
