Column,2 716,"529
-",188,"35 885
(200)",4 888,Column
,-,,-,,-,
,2 716,529,188,35 685,4 888,
"Profit for the year
Other comprehensive loss for the year",-,"-
(248)",-,"7 456
(69)",-,"7 456
(317)"
,-,,-,,-,
,-,(248),-,7 387,-,
,,"-
-
-
-
-",,"-
-
(1 086)
(4 888)
(3)",,
,-,,21,,-,
,-,,-,,(4 888),
,-,,-,,-,
,-,,-,,4 888,
,-,,-,,-,
,2 716,281,209,37 095,4 888,
,,281,,37 095,,
,2 716,,209,,4 888,
"Profit for the year
Other comprehensive loss for the year",-,"-
801",-,"4 163
41",-,"4 163
842"
,-,,-,,-,
,-,"801
-
-
-",-,"4 204
-
-
1 225",-,
,-,,(26),,-,
,-,,-,,(3 663),
,-,,-,,(1 225),
,2 716,1 082,183,42 524,-,
