No.,Column,Column,Column,"Our SDGs
impacted"
,Commitment,Goal or target,Target date,
1,"Diversification of our portfolio and increase our funding and capital
allocation for initiatives that support:
1. Renewable and clean energy
2. Industries, innovation and infrastructure
3. Financially excluded groups
4. Sustainable cities and communities
5. Responsible consumption and production
6. Value chains","Increase portfolio and cap
allocation by at least 10%",ital 2025,"7, 8, 9, 10, 11,
12"
2,"Increase diversity in the supply chain, focusing on women, youth
and persons with disabilities (PWD)",Achieve 30% diversity,2025,"8, 10"
3,"Investing in the future of the youth through skills development with
our ReadytoWork programme",Train one million youth,2025,"4, 8, 10"
4,Become a net-zero carbon footprint company by 2040,Achieve net zero,2040,12
5,"Increase biodiversity and encourage environmental responsibility
through planting trees",Plant 10 million trees,2025,"15, 8"
6,"Empower our suppliers and create awareness on corporate
sustainability and responsible business practices","Train all suppliers on
sustainable business",2021,"8, 16"
7,"Direct and indirect economic contribution to the Kenyan economy
through our current and future funding",% of contribution to econ,omy Continuous,8
8,Become one of the best places to work in Kenya,Top 10,2025,8
9,"Investing in training and upskilling the future skills and
competencies of our employees","Train all employees on at
one future skill",least 2021,"4, 8, 16"
10,"Increase proportion of women within all levels: junior, management
and board positions: Gender parity",Attain 50% across all leve,ls 2025,10
11,Assess and manage our indirect environmental and social impacts,"Reduce and mitigate nega
impact",tive 2021,"8, 12"
12,"Adherence to governance and control policies internally and
through the supply chain","Embed Environmental, So
Governance (ESG) across
our policies and framewo","cial, Continuous
all
rks",16
,Continued partnerships for the goals,"Number of partners and
value created for society
business","Continuous
and","17, 8"
