"Balance at
1 January","Recognised in
profit or loss","Recognised in
other comprehensive income","Balance at
31 December"
Shs'million,Shs'million,Shs'million,Shs'million
381,(63),-,318
2 061,-,(1 537),524
(103),(123),-,(226)
4 270,352,-,4 622
75,(11),-,64
13,(123),-,(110)
225,160,-,385
1 485,170,-,1 655
256,-,37,293
573,(79),-,494
(512),96,-,(416)
8 724,379,(1 500),7 603
