Computer software,WIP,Total
Shs'million,Shs'million,Shs'million
4 498,231,4 729
25,736,761
715,(715),-
(36),-,(36)
5 202,252,5 454
(4 026),-,(4 026)
(222),-,(222)
3,-,3
(4 245),-,(4 245)
957,252,1 209
