NII,Net Interest Income
NIM,Net Interest Margin
NPL,Non Performing Loans
PBT,Profit Before Tax
P/B,Price-to-Book Ratio
P/E,Price-to-Earnings Ratio
ROE,Return On Equity
RWA,Risk Weighted Assets
YOY,Year on Year
KES,Kenyan Shilling
ZAR,South African Rand
USD ($),United States Dollar
