Column,Column,Column,Column,Furniture,Column,Column,Column,Column
,,Plant &,,Fittings &,,Motor,,
Buildings,,Machinery,,Equipment,,Vehicles,,TOTAL
Kshs '000,,Kshs '000,,Kshs '000,,Kshs '000,,Kshs '000
"245,445",,"90,084",,"18,046",,"14,523",,"368,098"
-,,"4,037",,"2,472",,"1,373",,"7,882"
"22,002",569,,"1,880",,"3,956",,"28,407",
"5,887",,-,,-,,-,,"5,887"
-,,-,,(87),,"(1,938)",,"(2,025)"
"7,023",,"6,347",,968,,"1,008",,"15,346"
"280,357",,"101,037",,"23,279",,"18,922",,"423,595"
"38,773",,"80,445",,"12,431",,"4,126",,"135,775"
367,546,,"1,274",,"3,132",,"5,319",
"4,974",,"2,891",,"1,280",,"3,053",,"12,198"
-,,-,,(57),,"(1,551)",,"(1,608)"
352,,"5,548",,564,,250,,"6,714"
"44,466",,"89,430",,"15,492",,"9,010",,"158,398"
"235,891","11,607",,"7,787",,"9,912",,"265,197",
"206,672","9,639",,"5,615",,"10,397",,"232,323",
