Column,"25,723","14,890
-
21,424
22,071
(167)
(6,421)","(17,669)"
,"21,873",,-
13,"21,054",,23
10,"18,764",,"2,585"
13,-,,-
14,"(11,342)",,-
,"76,072","51,797
2,995
44,602
(36,413)","(15,061)"
23,"10,593",,-
24,"(1,214)",,(334)
28,"7,327",,(587)
,"92,777","62,981
(22,071)
(7,254)","(15,982)"
10,"(18,764)",,"(2,585)"
11,"(11,848)",,-
,"62,165","33,656","(18,567)"
13,"(4,907)","(4,036)
(11,199)
226",-
14,"(72,053)",,-
13,-,,-
,"(76,960)","(15,009)
(23,772)
(9,102)",-
27,"42,840",,"2,585"
22,960,,"16,133"
,"43,800","(32,874)","18,718"
,,"(14,226)
(2,915)
78,833",
,"29,005",,151
,"(5,381)",,-
,"61,692",,(81)
25,"85,316","61,692",71
