Volume,No of shares held,Percentage (%),Shareholders
1 - 500,"243,672","shareholding
0.61%",976
"501 - 5,000","2,454,624",6.14%,"1,315"
"5,001 - 10,000","1,320,628",3.30%,174
"10,001 - 100,000","4,908,028",12.27%,191
"100,001 - 1,000,000","5,929,349",14.82%,19
"1,000,001 +","25,143,699",62.86%,8
Total,"40,000,000",100.00%,"2,683"
