Key Audit Matter,How the Matter was addressed
Revenue recognition - The Group recognized revenue of,We assessed the company’s compliance with revenue
"Kshs 496 million from the business of manufacturing Vinyl
floor tiles, aluminium, PVC windows and cleaning chemicals,
provision of mechanical engineering services, selling and
servicing of fire equipment and water pumps and revenue
from property development and letting.
Significant effort was spent auditing the revenue recognized
by the Group due to the risk of incorrect timing of revenue
recognition and related estimates. According to the financial
statement accounting principle revenue is recognized at an
amount that reflect the consideration to which the company
expects to be entitled in exchange for transferring goods or
services to customer. The revenue recognition occurs at a
point in time when the control of goods is transferred to the
customer according to the delivery terms. This is considered
an area with risk of material error due to variation of terms
and revenue being a key performance measure.","recognition accounting policies against applicable accounting
standards.
We also assessed revenue recognition processes and
practices. We tested the effectiveness of the key controls
around revenue by testing the accuracy of cut-off.
We assessed the adequacy of the company’s disclosures
relating to revenue."
"Related party balances
The Group has significant transactions and balances with
related companies including its subsidiaries. As stipulated
in International Standards on Auditing 550 (ISA 550)”Related
Parties”, the auditor is required to perform certain procedures
in relation to recognition, measurement, presentation and
disclosure of related party transactions.
Based on definitions in IAS 24 “Related party disclosures”
the company has significant transactions with various related
companies with amounts receivable of Kshs 295 million
and payable of Kshs 56 million. The company also has
investments in subsidiaries of Kshs 246 million.","We reviewed the nature of transactions that the Group has
with its related parties.
We also enquired on the nature of relationships and the
transactions the Group has entered into.
We reviewed IT system controls on the over the recording of
related party transactions and their disclosure in the financial
statements.
We sought third party confirmations on balances receivable
or due to third parties.
We reviewed impairment of related party receivables."
"Significant Component – Olympia Capital Corporation
Limited (OCCL)
A component is identified as that individual subsidiary in
the group which is of significance financial contribution to
the group and is likely to include significant risks of material
misstatement of the group financial accounts (IAS 600).
A concentration risk exists as consolidated 100% of Group
performance is from OCCL and one component audited
subsidiaries. There is a risk that the component auditor may
not detect misstatements in the financial information.","We reviewed the account balances, classes of transactions
and disclosures affected by the likely significant risks and
requested the subsidiary’s component auditor to perform, an
audit of only those account balances, classes of transactions
and disclosures that are likely to have a significant risk of
material misstatement of the group financial statements.
Among other balances we identified balance sheet items that
can have a significant risk of inventory obsolescence.
To check on potentially obsolete inventory, we requested the
component auditor to perform specified audit procedures on
the valuation of inventory at OCCL that holds a large volume."
