Column,"48,840
27,064
70,318",Column
"56,153",,"59,872"
"27,063",,"5,735"
"113,158",,"48,382"
"196,374","146,222
(61,692)","113,989"
"(85,316)",,(71)
"111,058","84,530
1,283,588","113,918"
"1,315,068",,"538,967"
"1,426,127","1,368,118","652,884"
,6%,
8%,,17%
