Column,"6,542
19,636
19,497
(142)
-",Column
"14,890",,"5,578"
"21,424",,17
"22,071",,"1,426"
(167),,-
"(6,421)",,-
"51,797","45,533
24,248
(17,066)
13,210","7,021"
"2,995",,-
"44,602",,(613)
"(36,413)",,443
"62,981","65,925
(11,060)","6,851"
"(7,254)",,-
"55,727","54,865","6,851"
,"(15,093)
-
-",
"(4,036)",,-
"(11,199)",,-
226,,-
"(15,009)","(15,093)",-
