Column,Column,Column,Column,Column,Furniture,Column,Column,Column,Column
,,,Plant &,,Fittings &,,Motor,,
,Buildings,,Machinery,,Equipment,,Vehicles,,TOTAL
,Kshs '000,,Kshs '000,,Kshs '000,,Kshs '000,,Kshs '000
"68,591",,"166,971",,"27,761",,"42,329",,"305,652",
,"24,726",,"(2,727)",,-,,-,,"21,999"
,"93,317",,"164,244",,"27,761",,"42,329",,"327,651"
"(31,921)",,-,,-,,-,,"(31,921)",
,"162,947",,"6,371",,"3,304",,"7,229",,"179,851"
"1,623",,-,,35,,-,,"1,658",
-,,"(67,963)",,"(11,186)",,"(30,047)",,"(109,196)",
,"24,667",,-,,-,,-,,"24,667"
,-,,-,,-,,"(1,568)",,"(1,568)"
,"(5,188)",,"(12,568)",,"(1,868)",,"(3,420)",,"(23,044)"
,"245,445",,"90,084",,"18,046",,"14,523",,"368,098"
"8,906",,"136,764",,"19,036",,"23,479",,"188,185",
986,,"(2,727)",,-,,-,,"(1,741)",
"9,892",,"134,037",,"19,036",,"23,479",,"186,444",
"(6,315)",,-,,-,,-,,"(6,315)",
"32,047",,-,,9,,-,,"32,056",
,"3,451",,"2,379",,"1,071",,"2,578",,"9,479"
-,,"(45,913)",,"(6,539)",,"(18,646)",,"(71,098)",
-,,-,,-,,"(1,436)",,"(1,436)",
(302),,"(10,058)",,"(1,146)",,"(1,849)",,"(13,355)",
"38,773",,"80,445",,"12,431",,"4,126",,"135,775",
"206,672",,"9,639",,"5,615",,"10,397",,"232,323",
"59,685",,"30,207",,"8,725",,"18,850",,"117,467",
