Column,2010,Column,2009
,Kshs '000,,Kshs '000
"9,820",,"(85,133)",
,"9,820",,"(85,133)"
,"20,894",,"23,772"
,"(25,215)",,"(18,229)"
,"(13,513)",,"(7,476)"
,56,,"58,020"
"(2,449)",,"(18,987)",
,,,"(18,987)"
,"(10,407)",,"(48,033)"
,"(7,749)",,"(17,383)"
,"(3,952)",,"(1,119)"
,711,,616
,-,,"(21,654)"
,"(8,199)",,"(30,482)"
,"30,912",,"17,517"
,"2,494",,"(30,399)"
,"(18,913)",,"10,860"
,-,,527
,"(8,105)",,-
"(12,801)",,"(71,517)",
,"51,334",,"117,930"
,"27,243",,-
,"(26,199)",,"(19,002)"
,"52,378",,"98,928"
,"29,170",,"(20,622)"
"38,490",,"56,738",
"3,005",,"2,374",
,,,"2,374"
"70,665",,"38,490",
