5,"512,746","458,724
(319,493)",-
6,"(341,832)",,-
,"170,914","139,231
66,867
(179,279)",-
7,"57,000",,"13,564"
8,"(198,671)",,"(6,560)"
,"29,243","26,819
(20,277)","7,004"
10,"(14,353)",,"(1,426)"
,"14,890","6,542
(10,030)","5,578"
11 (a),"(9,148)",,"(1,673)"
,"5,743","(3,488)","3,905"
,,"1,085
(4,573)",
,"4,289",,"3,905"
,"1,454",,-
,"5,743","(3,488)","3,905"
,,"0.03
40,000",
,0.11,,0.10
,"40,000",,"40,000"
,,"(3,488)
(2,053)
1,590
-
(238)",
,"5,743",,"3,905"
,"(2,915)",,-
,"8,516",,-
,"(28,190)",,-
,(587),,-
,"(17,433)","(4,189)","3,905"
,"(10,736)","732
(4,921)","3,905"
,"(6,698)",,-
,"(17,434)","(4,189)","3,905"
