Column,Column,"634,109
26,087
23,924
93,594
-
4,735
49,700
134,338
269,946
18,113",Column
13,"626,002",,38
14,"43,707",,-
15,"22,932",,-
17,"93,594",,-
18,-,,"246,206"
19,"4,735",,-
20,"49,700",,"49,700"
21 (a),"137,619",,"2,983"
22 (a),"295,040",,"356,495"
22 (c),"23,687",,"23,682"
,"1,297,016","1,254,546","679,104"
,,"17,056
122,446
167,822
97,013",
22 (a),"7,018",,-
23,"121,335",,-
24,"123,220",,"3,418"
25,"78,010",,15
,"329,583","404,337","3,433"
,"1,626,599","1,658,883","682,537"
,,"200,000
255,985
(12,519)
207,818
264,893",
26,"200,000",,"200,000"
26,"255,985",,"255,985"
,"(13,991)",,-
,"196,135",,"67,405"
,"269,182",,"33,246"
,"907,311","916,177
384,844","556,636"
,"376,277",,-
,"1,283,588","1,301,021","556,636"
