Volume,No of shares held,Percentage (%) shareholding,No of Shareholders
1-500,"246,089",0.62%,971
"501-5,000","2,602,988",6.51%,"1,315"
"5,001-10,000","1,378,278",3.45%,179
"10,001-100,000","5,047,182.",12.62%,195
"100,001 - 1,000,000","5,670,964",14.18%,17
"1,000,001 +","25,054,499",62.64%,8
Total,"40,000,000",100.00%,"2,685"
