Column,"June 12,
2008","October
30,2008","December
9,2008","February
17,2009"
Dr.c.w. Obura (Chairman),../,../,../,../
Mr. M. W. Matu (CEO),../,../,../,../
Mr. Mwangi Wamae (COO),../,../,><,../
Mr. M. Kunyiha,../,><,../,><
Mr. SA Lakhani,../,../,../,../
Mr. E.M. Wamae*,><,><,><,><
Mr. John P.N.Simba,../,../,../,x
Mr. Paul N. Ndungu,../,../,../,../
