Directors,"Karen Enterprises Limited - Chairman
(Alt Dr. Christopher Obura)
Mr. Michael M. Matu - Chief Executive Officer
Mr. Alex Kimani - Executive Director
Mrs. Gladys Kamau – Non Executive Director
Mr. Kibuga Kariithi - Non Executive Director (Appointed on 28 May 2018)"
Registered office,"Olympia Capital Holdings Limited
Addis Ababa Road, Off Enterprise Road
Industrial Area
P.O. Box 30102 – 00100
Nairobi, Kenya"
Principal place of business,"Olympia Capital Holdings Limited
Addis Ababa Road off Enterprise Road
Industrial Area
P.O. Box 30102 – 00100
Nairobi, Kenya"
Principal Bankers,"NIC Bank Limited
NIC House Branch
P.O. Box 44599 – 00100
Nairobi, Kenya"
,"Guaranty Trust Bank (Kenya) Limited
Industrial Area Branch
P.O. Box 18647 – 00100
Nairobi, Kenya"
Company Secretary,"James Mwando
Equatorial Secretaries and Registrars
Kalamu House, Grevillea Grove
P.O. Box 14077 – 00800
Nairobi, Kenya"
Company Registrar,"C&R Group
6th Floor, North Wing, Bruce House
Standard Street
P.O. Box 8484 – 00100
Nairobi, Kenya"
Independent Auditor,"Parker Randall Eastern Africa
Certified Public Accountants
Block 2(A), Galleria Business Park
P.O. Box 25426 – 00100
Nairobi, Kenya."
Subsidiaries,"Avon Rubber Company (Kenya) Limited
3th Floor, Avon House
Enterprise Road, Industrial Area
P.O. Box 18270 – 00100
Nairobi, Kenya."
,"Mather and Platt (Kenya) Limited
Addis Ababa Road
Industrial Area
P.O. Box 30145 – 00100
Nairobi, Kenya."
,"Olympia Capital Corporation Limited
Plot 51, 52 & 53 Mogoditshane
P.O. Box 2166
Gaborone, Botswana."
