Year ended 28 February 2010,"Investment
holding",Column,Property,Column,Column,Building & construction,Column,Geographical totals,Column,Column,Column,Total,Column,Column
,,Investment,,,,materials & fire,,,,,,,,
,,holding,,Property,,prevention equipment,,,,,,,,
,,Kenya,,Kenya,,Kenya,Botswana,,Kenya,,Botswana,,,
,,Kshs,,Kshs,,Kshs,"Kshs
'000",,Kshs,,Kshs,,,Kshs
,,'000,,'000,,'000,,,'000,,'000,,,'000
,,"4,842",,"25,896",,"135,864","451,569",,"166,602",,"451,569",,,"618,171"
,,"(10,497)",,"8,890",,"(2,516)","29,604",,"(4,123)",,"29,604",,,"25,481"
,,"(12,555)",,"5,191",,"(2,642)","(1,992)",,"(10,006)",,"(1,992)",,,"(11,998)"
,,"579,590",,"201,209",,"204,307","366,195",,"985,106",,"366,195",,,"1,351,301"
,,,,,,,,,,,,,"(377,181)",
,,,,,,,,,,,,,,"(377,181)"
,,,,,,,,,,,,,,"974,120"
,"292,712",,"180,431",,"50,371",,"131,806","523,514",,"131,806",,,"655,320",
,,,,,,,,,,,,,"(204,600)",
,,,,,,,,,,,,,,"(204,600)"
,,,,,,,,,,,,,,"450,720"
,,"47,862",,"20,520",,"55,398","378,088",,"123,780",,"378,088",,,"501,868"
,,"33,072",,664,,"(7,324)","33,581",,"26,412",,"33,581",,,"59,993"
,,-,,-,,280,-,,280,,-,,,280
,,"33,400",,57,,"(8,022)","(176,629)",,"25,435",,"(176,629)",,,"(151,194)"
,,"540,583",,"189,118",,"104,013","278,718",,"833,714",,"278,718",,,"1,112,432"
,,,,,,,,,,,,,"(303,833)",
,,,,,,,,,,,,,,"(303,833)"
,,,,,,,,,,,,,,"808,599"
,"295,516",,"170,589",,"26,909",,"115,786","493,014",,"115,786",,,"608,800",
,,,,,,,,,,,,,"(172,370)",
,,,,,,,,,,,,,,"(172,370)"
,,,,,,,,,,,,,,"436,430"
