2010,Column,2009,Column
Kshs '000,,Kshs '000,
"95,121",,"98,962",
"8,193",,"29,597",
"(48,137)",,"(16,294)",
"20,598",,98,
152,,"(17,242)",
,152,,"(17,242)"
,"75,927",,"95,121"
